utility,pcr_target,measure_date,viral_conc_raw_LP1,viral_conc_raw_LP2,viral_conc_raw_LP3,lab_phase
Utility1,FLUBV,2024-11-18,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2024-11-21,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2024-11-25,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2024-12-02,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2024-12-05,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2024-12-09,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2024-12-12,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2024-12-16,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2024-12-19,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2024-12-26,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2024-12-30,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2025-01-02,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2025-01-06,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2025-01-09,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2025-01-13,NA,NA,7323289,Lab Phase 3
Utility1,FLUBV,2025-01-16,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2025-01-21,NA,NA,2865272,Lab Phase 3
Utility1,FLUBV,2025-01-23,NA,NA,6417047,Lab Phase 3
Utility1,FLUBV,2025-01-27,NA,NA,6551565,Lab Phase 3
Utility1,FLUBV,2025-01-30,NA,NA,1873247,Lab Phase 3
Utility1,FLUBV,2025-02-06,NA,NA,2944692,Lab Phase 3
Utility1,FLUBV,2025-02-10,NA,NA,1322,Lab Phase 3
Utility1,FLUBV,2025-02-13,NA,NA,1197642,Lab Phase 3
Utility1,FLUBV,2025-02-18,NA,NA,4799661,Lab Phase 3
Utility1,FLUBV,2025-02-20,NA,NA,5183746,Lab Phase 3
Utility1,FLUBV,2025-02-24,NA,NA,3033088,Lab Phase 3
Utility1,FLUBV,2025-02-27,NA,NA,2044375,Lab Phase 3
Utility1,FLUBV,2025-03-03,NA,NA,1897205,Lab Phase 3
Utility1,FLUBV,2025-03-06,NA,NA,6485441,Lab Phase 3
Utility1,FLUBV,2025-03-10,NA,NA,2553517,Lab Phase 3
Utility1,FLUBV,2025-03-13,NA,NA,4287935,Lab Phase 3
Utility1,FLUBV,2025-03-17,NA,NA,7106488,Lab Phase 3
Utility1,FLUBV,2025-03-20,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2025-03-24,NA,NA,2543274,Lab Phase 3
Utility1,FLUBV,2025-03-27,NA,NA,3324518,Lab Phase 3
Utility1,FLUBV,2025-03-31,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2025-04-03,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2025-04-07,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2025-04-10,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2025-04-14,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2025-04-17,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2025-04-21,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2025-04-24,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2025-04-28,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2025-05-01,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2025-05-05,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2025-05-08,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2025-05-12,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2025-05-15,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2025-05-19,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2025-05-22,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2025-05-27,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2025-05-29,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2025-06-02,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2025-06-05,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2025-06-09,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2025-06-12,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2025-06-16,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2025-06-23,NA,NA,600,Lab Phase 3
Utility1,FLUBV,2025-06-26,NA,NA,600,Lab Phase 3
Utility1,sars-cov-2,2022-02-24,95345,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-02-28,76600,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-03-03,364387,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-03-07,16810,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-03-10,2000,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-03-14,381885,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-03-17,452378,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-04-07,107648,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-04-14,375519,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-04-18,2000,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-04-21,162106,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-04-25,444385,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-04-28,378448,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-05-02,367420,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-05-09,140790,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-05-12,2000,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-05-16,256279,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-05-19,419935,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-05-23,100273,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-05-26,88092,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-06-02,408866,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-06-06,465862,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-06-09,38732,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-06-13,372287,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-06-16,308379,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-06-23,461470,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-06-27,234957,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-06-30,411289,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-07-07,505671,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-07-11,237152,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-07-14,372986,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-07-18,273763,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-07-21,2000,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-07-28,548974,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-08-01,125566,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-08-04,246944,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-08-08,209741,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-08-11,236203,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-08-15,501834,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-08-18,560804,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-08-22,198255,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-08-25,14957,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-08-29,354405,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-09-01,34795,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-09-08,480558,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-09-12,529227,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-09-15,235958,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-09-19,46278,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-09-22,380588,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-09-29,403590,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-10-03,50271,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-10-06,258826,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-10-10,170066,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-10-13,177523,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-10-17,328793,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-10-20,114083,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-10-24,259590,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-10-27,255529,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-10-31,6413,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-11-03,422264,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-11-07,282729,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-11-10,8613,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-11-14,515232,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-11-17,405143,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-11-21,562300,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-11-28,177230,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-12-01,20362,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-12-05,456531,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-12-08,516479,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-12-12,447488,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-12-15,460798,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-12-19,242312,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-12-27,404449,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2022-12-29,173163,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-01-03,398047,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-01-05,557043,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-01-12,52200,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-01-17,287849,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-01-19,170502,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-01-23,510075,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-01-26,202630,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-01-30,101221,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-02-02,125165,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-02-06,406555,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-02-09,26364,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-02-13,183029,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-02-21,396501,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-02-23,57508,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-02-27,417538,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-03-02,376115,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-03-06,213470,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-03-09,494234,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-03-13,2000,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-03-16,2000,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-03-20,94244,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-03-23,14551,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-03-27,2000,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-03-30,398522,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-04-03,152508,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-04-06,2000,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-04-10,419098,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-04-13,155754,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-04-17,69084,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-04-20,518042,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-04-24,2000,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-04-27,2000,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-05-01,349918,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-05-04,2000,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-05-08,348084,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-05-11,466860,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-05-15,405711,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-05-18,339108,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-05-22,447681,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-05-25,2000,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-05-30,86702,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-06-01,92630,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-06-05,169235,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-06-08,2000,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-06-12,2000,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-06-22,238491,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-06-29,210586,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-07-06,356915,NA,NA,Lab Phase 1
Utility1,sars-cov-2,2023-07-10,NA,316971,NA,Lab Phase 2
Utility1,sars-cov-2,2023-07-13,NA,277797,NA,Lab Phase 2
Utility1,sars-cov-2,2023-07-17,NA,243489,NA,Lab Phase 2
Utility1,sars-cov-2,2023-07-20,NA,122117,NA,Lab Phase 2
Utility1,sars-cov-2,2023-07-24,NA,153107,NA,Lab Phase 2
Utility1,sars-cov-2,2023-07-27,NA,2000,NA,Lab Phase 2
Utility1,sars-cov-2,2023-07-31,NA,416357,NA,Lab Phase 2
Utility1,sars-cov-2,2023-08-03,NA,72077,NA,Lab Phase 2
Utility1,sars-cov-2,2023-08-07,NA,94525,NA,Lab Phase 2
Utility1,sars-cov-2,2023-08-10,NA,531194,NA,Lab Phase 2
Utility1,sars-cov-2,2023-08-14,NA,268770,NA,Lab Phase 2
Utility1,sars-cov-2,2023-08-17,NA,563935,NA,Lab Phase 2
Utility1,sars-cov-2,2023-08-21,NA,443525,NA,Lab Phase 2
Utility1,sars-cov-2,2023-08-24,NA,469283,NA,Lab Phase 2
Utility1,sars-cov-2,2023-08-28,NA,120119,NA,Lab Phase 2
Utility1,sars-cov-2,2023-08-31,NA,251081,NA,Lab Phase 2
Utility1,sars-cov-2,2023-09-05,NA,118146,NA,Lab Phase 2
Utility1,sars-cov-2,2023-09-07,NA,373849,NA,Lab Phase 2
Utility1,sars-cov-2,2023-09-11,NA,13511,NA,Lab Phase 2
Utility1,sars-cov-2,2023-09-14,NA,281541,NA,Lab Phase 2
Utility1,sars-cov-2,2023-09-18,NA,117674,NA,Lab Phase 2
Utility1,sars-cov-2,2023-09-21,NA,66907,NA,Lab Phase 2
Utility1,sars-cov-2,2023-09-25,NA,530936,NA,Lab Phase 2
Utility1,sars-cov-2,2023-09-28,NA,537359,NA,Lab Phase 2
Utility1,sars-cov-2,2023-10-03,NA,187013,NA,Lab Phase 2
Utility1,sars-cov-2,2023-10-05,NA,192246,NA,Lab Phase 2
Utility1,sars-cov-2,2023-10-09,NA,394606,NA,Lab Phase 2
Utility1,sars-cov-2,2023-10-12,NA,429509,NA,Lab Phase 2
Utility1,sars-cov-2,2023-10-16,NA,95168,NA,Lab Phase 2
Utility1,sars-cov-2,2023-10-19,NA,120957,NA,Lab Phase 2
Utility1,sars-cov-2,2023-10-23,NA,410409,NA,Lab Phase 2
Utility1,sars-cov-2,2023-10-26,NA,420119,NA,Lab Phase 2
Utility1,sars-cov-2,2023-10-30,NA,449951,NA,Lab Phase 2
Utility1,sars-cov-2,2023-11-02,NA,232326,NA,Lab Phase 2
Utility1,sars-cov-2,2023-11-06,NA,384304,NA,Lab Phase 2
Utility1,sars-cov-2,2023-11-09,NA,365912,NA,Lab Phase 2
Utility1,sars-cov-2,2023-11-13,NA,296831,NA,Lab Phase 2
Utility1,sars-cov-2,2023-11-16,NA,432526,NA,Lab Phase 2
Utility1,sars-cov-2,2023-11-20,NA,550919,NA,Lab Phase 2
Utility1,sars-cov-2,2023-11-30,NA,426050,NA,Lab Phase 2
Utility1,sars-cov-2,2023-12-04,NA,390625,NA,Lab Phase 2
Utility1,sars-cov-2,2023-12-07,NA,124355,NA,Lab Phase 2
Utility1,sars-cov-2,2023-12-11,NA,129735,NA,Lab Phase 2
Utility1,sars-cov-2,2023-12-14,NA,135138,NA,Lab Phase 2
Utility1,sars-cov-2,2023-12-18,NA,6930,NA,Lab Phase 2
Utility1,sars-cov-2,2023-12-21,NA,426773,NA,Lab Phase 2
Utility1,sars-cov-2,2023-12-28,NA,560044,NA,Lab Phase 2
Utility1,sars-cov-2,2024-01-02,NA,545022,NA,Lab Phase 2
Utility1,sars-cov-2,2024-01-04,NA,100980,NA,Lab Phase 2
Utility1,sars-cov-2,2024-01-08,NA,241807,NA,Lab Phase 2
Utility1,sars-cov-2,2024-01-11,NA,482631,NA,Lab Phase 2
Utility1,sars-cov-2,2024-01-16,NA,351241,NA,Lab Phase 2
Utility1,sars-cov-2,2024-01-18,NA,141650,NA,Lab Phase 2
Utility1,sars-cov-2,2024-01-22,NA,271327,NA,Lab Phase 2
Utility1,sars-cov-2,2024-01-25,NA,527358,NA,Lab Phase 2
Utility1,sars-cov-2,2024-01-29,NA,53989,NA,Lab Phase 2
Utility1,sars-cov-2,2024-02-01,NA,169512,NA,Lab Phase 2
Utility1,sars-cov-2,2024-02-05,NA,280630,NA,Lab Phase 2
Utility1,sars-cov-2,2024-02-08,NA,362845,NA,Lab Phase 2
Utility1,sars-cov-2,2024-02-12,NA,466539,NA,Lab Phase 2
Utility1,sars-cov-2,2024-02-15,NA,353834,NA,Lab Phase 2
Utility1,sars-cov-2,2024-02-20,NA,413978,NA,Lab Phase 2
Utility1,sars-cov-2,2024-02-22,NA,205408,NA,Lab Phase 2
Utility1,sars-cov-2,2024-02-26,NA,5813,NA,Lab Phase 2
Utility1,sars-cov-2,2024-02-29,NA,184227,NA,Lab Phase 2
Utility1,sars-cov-2,2024-03-04,NA,163475,NA,Lab Phase 2
Utility1,sars-cov-2,2024-03-07,NA,422597,NA,Lab Phase 2
Utility1,sars-cov-2,2024-03-11,NA,2000,NA,Lab Phase 2
Utility1,sars-cov-2,2024-03-21,NA,271390,NA,Lab Phase 2
Utility1,sars-cov-2,2024-03-25,NA,2000,NA,Lab Phase 2
Utility1,sars-cov-2,2024-03-28,NA,2000,NA,Lab Phase 2
Utility1,sars-cov-2,2024-04-01,NA,2000,NA,Lab Phase 2
Utility1,sars-cov-2,2024-04-04,NA,2000,NA,Lab Phase 2
Utility1,sars-cov-2,2024-04-08,NA,2000,NA,Lab Phase 2
Utility1,sars-cov-2,2024-04-11,NA,342720,NA,Lab Phase 2
Utility1,sars-cov-2,2024-04-15,NA,2000,NA,Lab Phase 2
Utility1,sars-cov-2,2024-04-18,NA,2000,NA,Lab Phase 2
Utility1,sars-cov-2,2024-04-22,NA,2000,NA,Lab Phase 2
Utility1,sars-cov-2,2024-04-25,NA,2000,NA,Lab Phase 2
Utility1,sars-cov-2,2024-05-02,NA,476326,NA,Lab Phase 2
Utility1,sars-cov-2,2024-05-06,NA,2000,NA,Lab Phase 2
Utility1,sars-cov-2,2024-05-09,NA,507128,NA,Lab Phase 2
Utility1,sars-cov-2,2024-05-13,NA,2000,NA,Lab Phase 2
Utility1,sars-cov-2,2024-05-16,NA,189753,NA,Lab Phase 2
Utility1,sars-cov-2,2024-05-20,NA,527961,NA,Lab Phase 2
Utility1,sars-cov-2,2024-05-23,NA,2000,NA,Lab Phase 2
Utility1,sars-cov-2,2024-05-28,NA,19585,NA,Lab Phase 2
Utility1,sars-cov-2,2024-06-03,NA,293698,NA,Lab Phase 2
Utility1,sars-cov-2,2024-06-13,NA,404745,NA,Lab Phase 2
Utility1,sars-cov-2,2024-06-17,NA,490187,NA,Lab Phase 2
Utility1,sars-cov-2,2024-06-20,NA,440009,NA,Lab Phase 2
Utility1,sars-cov-2,2024-06-24,NA,244689,NA,Lab Phase 2
Utility1,sars-cov-2,2024-06-27,NA,2000,NA,Lab Phase 2
Utility1,sars-cov-2,2024-07-01,NA,472398,NA,Lab Phase 2
Utility1,sars-cov-2,2024-07-08,NA,2000,NA,Lab Phase 2
Utility1,sars-cov-2,2024-07-11,NA,322284,NA,Lab Phase 2
Utility1,sars-cov-2,2024-07-15,NA,323829,NA,Lab Phase 2
Utility1,sars-cov-2,2024-07-18,NA,410722,NA,Lab Phase 2
Utility1,sars-cov-2,2024-07-29,NA,30846,NA,Lab Phase 2
Utility1,sars-cov-2,2024-08-01,NA,491050,NA,Lab Phase 2
Utility1,sars-cov-2,2024-08-08,NA,243308,NA,Lab Phase 2
Utility1,sars-cov-2,2024-08-12,NA,555205,NA,Lab Phase 2
Utility1,sars-cov-2,2024-08-15,NA,287091,NA,Lab Phase 2
Utility1,sars-cov-2,2024-08-19,NA,340272,NA,Lab Phase 2
Utility1,sars-cov-2,2024-08-22,NA,372273,NA,Lab Phase 2
Utility1,sars-cov-2,2024-08-26,NA,309504,NA,Lab Phase 2
Utility1,sars-cov-2,2024-08-29,NA,75451,NA,Lab Phase 2
Utility1,sars-cov-2,2024-09-03,NA,240624,NA,Lab Phase 2
