Utility,county,pcr_target,Date,SARS-2 Copies/L (uncorrected),pcr_target_cl_95_lo,pcr_target_cl_95_up,sample_id,quality_flag,flow_rate,sample_type,lab_phase,pcr_target_below_lod,reporting_jurisdiction,wwtp_jurisdiction,sewershed_name_in_case_linelist,sewershed_name_in_spatial_file,upstream_location_specify_nwss_dcipher
Utility1,08001,sars-cov-2,2022-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-01-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-01-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-01-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-01-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-01-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-01-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-01-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-01-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-01-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-01-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-01-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-01-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-01-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-01-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-01-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-01-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-01-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-01-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-01-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-01-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-01-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-02-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-02-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-02-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-02-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-02-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-02-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-02-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-02-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-02-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-02-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-02-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-02-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-02-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-02-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-02-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-02-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-02-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-02-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-02-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-02-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-02-24,95345,95345,95345,UA20220224,no,1.11,"24-hr flow-weighted composite

",Lab Phase 1,no,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-02-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-02-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-02-28,76600,-233239,76600,UA20220228,yes,1.14,24-hr flow-weighted composite,Lab Phase 1,no,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-03-03,364387,-169879,364387,UA20220303,yes,1.153,24-hr flow-weighted composite,Lab Phase 1,no,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-03-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-03-07,16810,NA,NA,UA20220307,no,1.259,24-hr flow-weighted composite,Lab Phase 1,no,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-03-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-03-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-03-10,2000,2000,2000,UA20220310,yes,1.161,24-hr flow-weighted composite,Lab Phase 1,yes,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-03-14,381885,-129109,381885,UA20220314,yes,1.245,24-hr flow-weighted composite,Lab Phase 1,no,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-03-17,452378,452378,452378,UA20220317,no,1.152,24-hr flow-weighted composite,Lab Phase 1,no,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-03-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-03-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-03-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-03-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-03-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-03-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-04-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-04-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-04-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-04-07,107648,NA,NA,UA20220407,no,1.281,24-hr flow-weighted composite,Lab Phase 1,no,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-04-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-04-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-04-14,375519,148388,218470,UA20220414,no,1.377,24-hr flow-weighted composite,Lab Phase 1,no,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-04-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-04-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-04-18,2000,2000,2000,UA20220418,yes,1.11,24-hr flow-weighted composite,Lab Phase 1,yes,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-04-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-04-21,162106,162106,162106,UA20220421,no,1.27,24-hr flow-weighted composite,Lab Phase 1,no,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-04-25,444385,441667,444385,UA20220425,no,1.239,24-hr flow-weighted composite,Lab Phase 1,no,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-04-28,378448,-133061,378448,UA20220428,yes,1.24,24-hr flow-weighted composite,Lab Phase 1,no,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-04-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-05-02,367420,184299,367420,UA20220502,no,1.39,24-hr flow-weighted composite,Lab Phase 1,no,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-05-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-05-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-05-09,140790,140790,140790,UA20220509,no,1.06,24-hr flow-weighted composite,Lab Phase 1,no,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-05-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-05-12,2000,2000,2000,UA20220512,yes,1.19,24-hr flow-weighted composite,Lab Phase 1,yes,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-05-16,256279,24344,24700,UA20220516,no,1.199,24-hr flow-weighted composite,Lab Phase 1,no,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-05-19,419935,159439,419935,UA20220519,no,1.209,24-hr flow-weighted composite,Lab Phase 1,no,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-05-23,100273,100273,38363,UA20220523,no,1.163,24-hr flow-weighted composite,Lab Phase 1,no,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-05-26,88092,-106043,88092,UA20220526,yes,1.149,24-hr flow-weighted composite,Lab Phase 1,no,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
Utility1,08001,sars-cov-2,2022-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,co,CO,CITY OF UTILITY1 RWWF,City of Utility1,NA
