"","reporting_jurisdiction","county_names","other_jurisdiction","zipcode","population_served","sewage_travel_time","sample_location","sample_location_specify","institution_type","epaid","wwtp_name","wwtp_jurisdiction","capacity_mgd","industrial_input","stormwater_input","influent_equilibrated","sample_type","composite_freq","sample_matrix","collection_storage_time","collection_storage_temp","pasteurized","pretreatment","pretreatment_specify","solids_separation","concentration_method","extraction_method","pre_conc_storage_time","pre_conc_storage_temp","pre_ext_storage_time","pre_ext_storage_temp","tot_conc_vol","ext_blank","rec_eff_target_name","rec_eff_spike_matrix","rec_eff_spike_conc","pcr_target","pcr_gene_target","pcr_gene_target_ref","pcr_type","lod_ref","hum_frac_target_mic","hum_frac_target_mic_ref","hum_frac_target_chem","hum_frac_target_chem_ref","other_norm_name","other_norm_ref","quant_stan_type","stan_ref","inhibition_method","num_no_target_control","sample_collect_date","sample_collect_time","flow_rate","ph","conductivity","tss","collection_water_temp","equiv_sewage_amt","sample_id","lab_id","qc_ignore","analysis_ignore","validated_method","test_result_date","pcr_target_units","pcr_target_avg_conc","pcr_target_std_error","pcr_target_cl_95_lo","pcr_target_cl_95_up","pcr_target_below_lod","lod_sewage","ntc_amplify","rec_eff_percent","inhibition_detect","inhibition_adjust","hum_frac_mic_conc","hum_frac_mic_unit","hum_frac_chem_conc","hum_frac_chem_unit","other_norm_conc","other_norm_unit","quality_flag","major_lab_method","major_lab_method_desc","qc_internal"
"11","CO","8003",NA,81101,18364,NA,"primary influent",NA,"not institution specific","CO0044458","Utility1","CO",2.571,NA,NA,NA,"composite",NA,"raw wastewater",NA,0,"no","no",NA,NA,"kingfisher MAGMax viral enrichment + extraction","kingfisher MAGMax viral enrichment + extraction",0,NA,NA,40,10,"no","MHV","raw sample",50,"RSV_A","N[792-723] N[749-680]","CDPHE RSV_A Primers","dPCR","Samples of known concentration are run in triplicate and backcalculated to determine lowest concentration consistently detectable on platform","pepper mild mottle virus","Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). https://doi.org/10.1038/s41545-018-0019-5",NA,NA,NA,NA,"rsv","N[792-723] N[749-680]","We spike-in MHV standard for signs of molecular inhibition from the wastewater samples.",1,"2/5/2024","7:00",0.89,NA,NA,NA,NA,44045,"UA20240205","CDPHE",NA,NA,NA,"2/7/2024","copies/L wastewater",341784,273203,-155412,129349,"yes",4000,"no",59.536,"no","no",NA,NA,NA,NA,0,"","no",NA,NA,NA
"12","CO","8003",NA,81101,18364,NA,"primary influent",NA,"not institution specific","CO0044458","Utility1","CO",2.571,NA,NA,NA,"composite",NA,"raw wastewater",NA,0,"no","no",NA,NA,"kingfisher MAGMax viral enrichment + extraction","kingfisher MAGMax viral enrichment + extraction",0,NA,NA,40,10,"no","MHV","raw sample",50,"RSV_A","N[792-723] N[749-680]","CDPHE RSV_A Primers","dPCR","Samples of known concentration are run in triplicate and backcalculated to determine lowest concentration consistently detectable on platform","pepper mild mottle virus","Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). https://doi.org/10.1038/s41545-018-0019-5",NA,NA,NA,NA,"rsv","N[792-723] N[749-680]","We spike-in MHV standard for signs of molecular inhibition from the wastewater samples.",1,"2/8/2024","7:00",0.92,NA,NA,NA,NA,44045,"UA20240208","CDPHE",NA,NA,NA,"2/12/2024","copies/L wastewater",97723,32200,-241480,97723,"yes",4000,"no",35.264,"no","no",NA,NA,NA,NA,0,"","no",NA,NA,NA
"13","CO","8003",NA,81101,18364,NA,"primary influent",NA,"not institution specific","CO0044458","Utility1","CO",2.571,NA,NA,NA,"grab",NA,"raw wastewater",NA,0,"no","no",NA,NA,"kingfisher MAGMax viral enrichment + extraction","kingfisher MAGMax viral enrichment + extraction",0,NA,NA,40,10,"no","MHV","raw sample",50,"RSV_A","N[792-723] N[749-680]","CDPHE RSV_A Primers","dPCR","Samples of known concentration are run in triplicate and backcalculated to determine lowest concentration consistently detectable on platform","pepper mild mottle virus","Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). https://doi.org/10.1038/s41545-018-0019-5",NA,NA,NA,NA,"rsv","N[792-723] N[749-680]","We spike-in MHV standard for signs of molecular inhibition from the wastewater samples.",1,"2/12/2024","7:00",0.82,NA,NA,NA,NA,44045,"UA20240212","CDPHE",NA,NA,NA,"2/14/2024","copies/L wastewater",NA,NA,NA,NA,"no",4000,"no",88.12,"no","no",NA,NA,NA,NA,0,"","no",NA,NA,NA
"14","CO","8003",NA,81101,18364,NA,"primary influent",NA,"not institution specific","CO0044458","Utility1","CO",2.571,NA,NA,NA,"composite",NA,"raw wastewater",NA,0,"no","no",NA,NA,"kingfisher MAGMax viral enrichment + extraction","kingfisher MAGMax viral enrichment + extraction",0,NA,NA,40,10,"no","MHV","raw sample",50,"RSV_A","N[792-723] N[749-680]","CDPHE RSV_A Primers","dPCR","Samples of known concentration are run in triplicate and backcalculated to determine lowest concentration consistently detectable on platform","pepper mild mottle virus","Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). https://doi.org/10.1038/s41545-018-0019-5",NA,NA,NA,NA,"rsv","N[792-723] N[749-680]","We spike-in MHV standard for signs of molecular inhibition from the wastewater samples.",1,"2/15/2024","7:00",0.94,NA,NA,NA,NA,44045,"UA20240215","CDPHE",NA,NA,NA,"2/22/2024","copies/L wastewater",NA,NA,NA,NA,"no",4000,"no",39.328,"no","no",NA,NA,NA,NA,0,"","no",NA,NA,NA
"15","CO","8003",NA,81101,18364,NA,"primary influent",NA,"not institution specific","CO0044458","Utility1","CO",2.571,NA,NA,NA,"composite",NA,"raw wastewater",NA,0,"no","no",NA,NA,"kingfisher MAGMax viral enrichment + extraction","kingfisher MAGMax viral enrichment + extraction",0,NA,NA,40,10,"no","MHV","raw sample",50,"RSV_A","N[792-723] N[749-680]","CDPHE RSV_A Primers","dPCR","Samples of known concentration are run in triplicate and backcalculated to determine lowest concentration consistently detectable on platform","pepper mild mottle virus","Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). https://doi.org/10.1038/s41545-018-0019-5",NA,NA,NA,NA,"rsv","N[792-723] N[749-680]","We spike-in MHV standard for signs of molecular inhibition from the wastewater samples.",1,"2/20/2024","7:00",1.05,NA,NA,NA,NA,44045,"UA20240220","CDPHE",NA,NA,NA,"2/22/2024","copies/L wastewater",NA,NA,NA,NA,"no",4000,"no",31.072,"no","no",NA,NA,NA,NA,0,"","no",NA,NA,NA
"16","CO","8003",NA,81101,18364,NA,"primary influent",NA,"not institution specific","CO0044458","Utility1","CO",2.571,NA,NA,NA,"composite",NA,"raw wastewater",NA,0,"no","no",NA,NA,"kingfisher MAGMax viral enrichment + extraction","kingfisher MAGMax viral enrichment + extraction",0,NA,NA,40,10,"no","MHV","raw sample",50,"RSV_A","N[792-723] N[749-680]","CDPHE RSV_A Primers","dPCR","Samples of known concentration are run in triplicate and backcalculated to determine lowest concentration consistently detectable on platform","pepper mild mottle virus","Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). https://doi.org/10.1038/s41545-018-0019-5",NA,NA,NA,NA,"rsv","N[792-723] N[749-680]","We spike-in MHV standard for signs of molecular inhibition from the wastewater samples.",1,"2/22/2024","7:00",0.91,NA,NA,NA,NA,44045,"UA20240222","CDPHE",NA,NA,NA,"2/24/2024","copies/L wastewater",381081,297087,160323,220515,"no",4000,"no",6.6768,"no","no",NA,NA,NA,NA,0,"","Below LOQ",NA,NA,NA
"17","CO","8003",NA,81101,18364,NA,"primary influent",NA,"not institution specific","CO0044458","Utility1","CO",2.571,NA,NA,NA,"composite",NA,"raw wastewater",NA,0,"no","no",NA,NA,"kingfisher MAGMax viral enrichment + extraction","kingfisher MAGMax viral enrichment + extraction",0,NA,NA,40,10,"no","MHV","raw sample",50,"RSV_A","N[792-723] N[749-680]","CDPHE RSV_A Primers","dPCR","Samples of known concentration are run in triplicate and backcalculated to determine lowest concentration consistently detectable on platform","pepper mild mottle virus","Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). https://doi.org/10.1038/s41545-018-0019-5",NA,NA,NA,NA,"rsv","N[792-723] N[749-680]","We spike-in MHV standard for signs of molecular inhibition from the wastewater samples.",1,"2/26/2024","7:00",0.89,NA,NA,NA,NA,44045,"UA20240226","CDPHE",NA,NA,NA,"2/28/2024","copies/L wastewater",NA,NA,NA,NA,"no",4000,"no",30.144,"no","no",NA,NA,NA,NA,0,"","no",NA,NA,NA
"18","CO","8003",NA,81101,18364,NA,"primary influent",NA,"not institution specific","CO0044458","Utility1","CO",2.571,NA,NA,NA,"composite",NA,"raw wastewater",NA,0,"no","no",NA,NA,"kingfisher MAGMax viral enrichment + extraction","kingfisher MAGMax viral enrichment + extraction",0,NA,NA,40,10,"no","MHV","raw sample",50,"RSV_A","N[792-723] N[749-680]","CDPHE RSV_A Primers","dPCR","Samples of known concentration are run in triplicate and backcalculated to determine lowest concentration consistently detectable on platform","pepper mild mottle virus","Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). https://doi.org/10.1038/s41545-018-0019-5",NA,NA,NA,NA,"rsv","N[792-723] N[749-680]","We spike-in MHV standard for signs of molecular inhibition from the wastewater samples.",1,"2/29/2024","7:00",0.9,NA,NA,NA,NA,44045,"UA20240229","CDPHE",NA,NA,NA,"3/2/2024","copies/L wastewater",NA,NA,NA,NA,"no",4000,"no",27.576,"no","no",NA,NA,NA,NA,0,"","no",NA,NA,NA
"19","CO","8003",NA,81101,18364,NA,"primary influent",NA,"not institution specific","CO0044458","Utility1","CO",2.571,NA,NA,NA,"composite",NA,"raw wastewater",NA,0,"no","no",NA,NA,"kingfisher MAGMax viral enrichment + extraction","kingfisher MAGMax viral enrichment + extraction",0,NA,NA,40,10,"no","MHV","raw sample",50,"RSV_A","N[792-723] N[749-680]","CDPHE RSV_A Primers","dPCR","Bio-Rad. (2021). Qualitative assay for use on the QX200(tm) and QXDx(tm) Droplet Digital(tm) PCR Systems: Instructions for Use. Retrieved from https://www.fda.gov/media/137579/download","pepper mild mottle virus","Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). https://doi.org/10.1038/s41545-018-0019-5",NA,NA,NA,NA,"rsv","N[792-723] N[749-680]","We spike-in MHV standard for signs of molecular inhibition from the wastewater samples.",1,"3/4/2024","7:00",0.87,NA,NA,NA,NA,44045,"UA20240304","CDPHE",NA,NA,NA,"3/8/2024","copies/L wastewater",361174,301522,145243,361174,"no",4000,"no",29.24,"no","no",NA,NA,NA,NA,0,"","Below LOQ",NA,NA,NA
"20","CO","8003",NA,81101,18364,NA,"primary influent",NA,"not institution specific","CO0044458","Utility1","CO",2.571,NA,NA,NA,"composite",NA,"raw wastewater",NA,0,"no","no",NA,NA,"kingfisher MAGMax viral enrichment + extraction","kingfisher MAGMax viral enrichment + extraction",0,NA,NA,40,10,"no","MHV","raw sample",50,"RSV_A","N[792-723] N[749-680]","CDPHE RSV_A Primers","dPCR","Samples of known concentration are run in triplicate and backcalculated to determine lowest concentration consistently detectable on platform","pepper mild mottle virus","Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). https://doi.org/10.1038/s41545-018-0019-5",NA,NA,NA,NA,"rsv","N[792-723] N[749-680]","We spike-in MHV standard for signs of molecular inhibition from the wastewater samples.",1,"3/7/2024","7:00",0.9,NA,NA,NA,NA,44045,"UA20240307","CDPHE",NA,NA,NA,"3/9/2024","copies/L wastewater",192570,179350,182153,192570,"no",4000,"no",56.88,"no","no",NA,NA,NA,NA,0,"","Below LOQ",NA,NA,NA
"21","CO","8003",NA,81101,18364,NA,"primary influent",NA,"not institution specific","CO0044458","Utility1","CO",2.571,NA,NA,NA,"Composite",NA,"raw wastewater",NA,2.3,"no","no",NA,NA,"kingfisher MAGMax viral enrichment + extraction","kingfisher MAGMax viral enrichment + extraction",0,NA,NA,40,10,"no","MHV","raw sample",60.5,"RSV_A","N[792-723] N[749-680]","CDPHE RSV_A Primers","dPCR","Bio-Rad. (2021). Qualitative assay for use on the QX200(tm) and QXDx(tm) Droplet Digital(tm) PCR Systems: Instructions for Use. Retrieved from https://www.fda.gov/media/137579/download","pepper mild mottle virus","Kitajima, M., Sassi, H.P. , J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). https://doi.org/10.1038/s41545-018-0019-5",NA,NA,NA,NA,"rna","N[792-723] N[749-680]","We spike-in MHV standard for signs of molecular inhibition from the wastewater samples.",1,"3/11/2024","-2209046400",0.909,NA,NA,NA,NA,44045,"UA20240311","CDPHE",NA,NA,"no","3/28/2024","copies/L wastewater",235850,235850,214267,235850,"yes",4000,"no",NA,"no","no",NA,NA,NA,NA,0,"","no",NA,NA,"PASS"
"22","CO","8003",NA,81101,18364,NA,"primary influent",NA,"not institution specific","CO0044458","Utility1","CO",2.571,NA,NA,NA,"composite",NA,"raw wastewater",NA,0,"no","no",NA,NA,"kingfisher MAGMax viral enrichment + extraction","kingfisher MAGMax viral enrichment + extraction",0,NA,NA,40,10,"no",NA,"raw sample",50,"RSV_A","N[792-723] N[749-680]","CDPHE RSV_A Primers","dPCR","Samples of known concentration are run in triplicate and backcalculated to determine lowest concentration consistently detectable on platform","pepper mild mottle virus","Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). https://doi.org/10.1038/s41545-018-0019-5",NA,NA,NA,NA,"rsv","N[792-723] N[749-680]","We spike-in MHV standard for signs of molecular inhibition from the wastewater samples.",1,"3/18/2024","7:00",3.93,NA,NA,NA,NA,44045,"UA20240318","CDPHE",NA,NA,NA,"3/28/2024","copies/L wastewater",NA,NA,NA,NA,"yes",4000,"no",0,"no","no",NA,NA,NA,NA,0,"","no",NA,NA,NA
"23","CO","8003",NA,81101,18364,NA,"primary influent",NA,"not institution specific","CO0044458","Utility1","CO",2.571,NA,NA,NA,"composite",NA,"raw wastewater",NA,0,"no","no",NA,NA,"kingfisher MAGMax viral enrichment + extraction","kingfisher MAGMax viral enrichment + extraction",0,NA,NA,40,10,"no","MHV","raw sample",50,"RSV_A","N[792-723] N[749-680]","CDPHE RSV_A Primers","dPCR","Samples of known concentration are run in triplicate and backcalculated to determine lowest concentration consistently detectable on platform","pepper mild mottle virus","Kitajima, M., Sassi, H.P. & Torrey, J.R. Pepper mild mottle virus as a water quality indicator. npj Clean Water 1, 19 (2018). https://doi.org/10.1038/s41545-018-0019-5",NA,NA,NA,NA,"rsv","N[792-723] N[749-680]","We spike-in MHV standard for signs of molecular inhibition from the wastewater samples.",1,"3/21/2024","7:00",0.89,NA,NA,NA,NA,44045,"UA20240321","CDPHE",NA,NA,NA,"3/23/2024","copies/L wastewater",NA,NA,NA,NA,"no",4000,"no",48.296,"no","no",NA,NA,NA,NA,0,"","no",NA,NA,NA
