"","wwtp_name","sample_id","sample_collect_date","flu_pcr_target","flu_pcr_target_avg_conc","h5_pcr_target_avg_conc","h5_detected","h3_pcr_target_avg_conc","h3_detected","h1_pcr_target_avg_conc","h1_detected"
"197","Utility1","UA20250414","2025-04-14","Inf_A-MP","4957647","600","Not Detected","600","Not Detected","308261","Detected"
"198","Utility1",NA,"2025-04-15","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"199","Utility1",NA,"2025-04-16","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"200","Utility1","UA20250417","2025-04-17","Inf_A-MP","600","600","Not Detected","600","Not Detected","600","Not Detected"
"201","Utility1",NA,"2025-04-18","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"202","Utility1",NA,"2025-04-19","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"203","Utility1",NA,"2025-04-20","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"204","Utility1","UA20250421","2025-04-21","Inf_A-MP","600","600","Not Detected","600","Not Detected","600","Not Detected"
"205","Utility1",NA,"2025-04-22","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"206","Utility1",NA,"2025-04-23","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"207","Utility1","UA20250424","2025-04-24","Inf_A-MP","600","600","Not Detected","600","Not Detected","600","Not Detected"
"208","Utility1",NA,"2025-04-25","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"209","Utility1",NA,"2025-04-26","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"210","Utility1",NA,"2025-04-27","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"211","Utility1","UA20250428","2025-04-28","Inf_A-MP","600","600","Not Detected","600","Not Detected","600","Not Detected"
"212","Utility1",NA,"2025-04-29","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"213","Utility1",NA,"2025-04-30","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"214","Utility1","UA20250501","2025-05-01","Inf_A-MP","600","600","Not Detected","600","Not Detected","600","Not Detected"
"215","Utility1",NA,"2025-05-02","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"216","Utility1",NA,"2025-05-03","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"217","Utility1",NA,"2025-05-04","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"218","Utility1","UA20250505","2025-05-05","Inf_A-MP","600","600","Not Detected","600","Not Detected","600","Not Detected"
"219","Utility1",NA,"2025-05-06","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"220","Utility1",NA,"2025-05-07","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"221","Utility1","UA20250508","2025-05-08","Inf_A-MP","600","600","Not Detected","600","Not Detected","600","Not Detected"
"222","Utility1",NA,"2025-05-09","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"223","Utility1",NA,"2025-05-10","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"224","Utility1",NA,"2025-05-11","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"225","Utility1","UA20250512","2025-05-12","Inf_A-MP","600","600","Not Detected","600","Not Detected","600","Not Detected"
"226","Utility1",NA,"2025-05-13","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"227","Utility1",NA,"2025-05-14","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"228","Utility1","UA20250515","2025-05-15","Inf_A-MP","600","600","Not Detected","600","Not Detected","600","Not Detected"
"229","Utility1",NA,"2025-05-16","Inf_A-MP",NA,NA,"No Sample",NA,"No Sample",NA,"No Sample"
"230","Utility1",NA,"2025-05-17","Inf_A-MP",NA,NA,"No Sample",NA,"Not Tested",NA,"Not Tested"
"231","Utility1",NA,"2025-05-18","Inf_A-MP",NA,NA,"No Sample",NA,"Not Tested",NA,"Not Tested"
"232","Utility1","UA20250519","2025-05-19","Inf_A-MP","600","600","Not Detected",NA,"Not Tested",NA,"Not Tested"
"233","Utility1",NA,"2025-05-20","Inf_A-MP",NA,NA,"No Sample",NA,"Not Tested",NA,"Not Tested"
"234","Utility1",NA,"2025-05-21","Inf_A-MP",NA,NA,"No Sample",NA,"Not Tested",NA,"Not Tested"
