"","utility","pcr_target","week","measure_date","ND_flag","CDC_TwoWeek_Detection_Flag","CDC_FourWeek_Detections","CDC_FourWeek_Submission","FourWeek_Detection_Percent","CDC_PersistentDetection_Flag","CDC_Detection_Flag"
"144","Utility1","H5",45,2024-08-15,"No Detection","no",1,5,20,"no","yes"
"145","Utility1","H5",46,2024-08-05,"No Detection","yes",2,7,28.5714285714286,"no","yes"
"146","Utility1","H5",46,2024-08-08,"No Detection","yes",2,7,28.5714285714286,"no","yes"
"147","Utility1","H5",47,2024-07-29,"No Detection","yes",2,6,33.3333333333333,"no","yes"
"148","Utility1","H5",47,2024-08-01,"Detection","yes",2,6,33.3333333333333,"no","yes"
"149","Utility1","H5",49,2024-07-15,"No Detection","yes",1,4,25,"no","yes"
"150","Utility1","H5",49,2024-07-17,"Detection","yes",1,4,25,"no","yes"
"151","Utility1","H5",49,2024-07-18,"No Detection","yes",1,4,25,"no","yes"
"152","Utility1","H5",50,2024-07-11,"No Detection","no",0,1,0,"no","no"
"153","Utility1","PanRSV",30,2024-11-25,"No Detection","no",1,7,14.2857142857143,"no","yes"
"154","Utility1","PanRSV",31,2024-11-18,"No Detection","yes",1,8,12.5,"no","yes"
"155","Utility1","PanRSV",31,2024-11-21,"No Detection","yes",1,8,12.5,"no","yes"
"156","Utility1","PanRSV",32,2024-11-12,"No Detection","yes",1,8,12.5,"no","yes"
"157","Utility1","PanRSV",32,2024-11-14,"Detection","yes",1,8,12.5,"no","yes"
"158","Utility1","PanRSV",33,2024-11-04,"No Detection","no",0,8,0,"no","no"
"159","Utility1","PanRSV",33,2024-11-07,"No Detection","no",0,8,0,"no","no"
"160","Utility1","PanRSV",34,2024-10-28,"No Detection","no",0,6,0,"no","no"
"161","Utility1","PanRSV",34,2024-10-31,"No Detection","no",0,6,0,"no","no"
"162","Utility1","PanRSV",35,2024-10-21,"No Detection","no",0,6,0,"no","no"
"163","Utility1","PanRSV",35,2024-10-24,"No Detection","no",0,6,0,"no","no"
"164","Utility1","PanRSV",36,2024-10-14,"No Detection","no",0,6,0,"no","no"
"165","Utility1","PanRSV",36,2024-10-17,"No Detection","no",0,6,0,"no","no"
"166","Utility1","PanRSV",38,2024-09-30,"No Detection","no",0,7,0,"no","no"
"167","Utility1","PanRSV",38,2024-10-03,"No Detection","no",0,7,0,"no","no"
"168","Utility1","PanRSV",39,2024-09-23,"No Detection","no",0,6,0,"no","no"
"169","Utility1","PanRSV",39,2024-09-26,"No Detection","no",0,6,0,"no","no"
"170","Utility1","PanRSV",40,2024-09-16,"No Detection","no",0,6,0,"no","no"
"171","Utility1","PanRSV",41,2024-09-09,"No Detection","no",0,7,0,"no","no"
"172","Utility1","PanRSV",41,2024-09-12,"No Detection","no",0,7,0,"no","no"
"173","Utility1","PanRSV",42,2024-09-03,"No Detection","no",0,7,0,"no","no"
"174","Utility1","PanRSV",43,2024-08-26,"No Detection","no",1,8,12.5,"no","yes"
"175","Utility1","PanRSV",43,2024-08-29,"No Detection","no",1,8,12.5,"no","yes"
"176","Utility1","PanRSV",44,2024-08-19,"No Detection","no",1,8,12.5,"no","yes"
"177","Utility1","PanRSV",44,2024-08-22,"No Detection","no",1,8,12.5,"no","yes"
"178","Utility1","PanRSV",45,2024-08-12,"No Detection","yes",1,6,16.6666666666667,"no","yes"
"179","Utility1","PanRSV",45,2024-08-15,"No Detection","yes",1,6,16.6666666666667,"no","yes"
"180","Utility1","PanRSV",46,2024-08-05,"Detection","yes",1,6,16.6666666666667,"no","yes"
"181","Utility1","PanRSV",46,2024-08-08,"No Detection","yes",1,6,16.6666666666667,"no","yes"
"182","Utility1","PanRSV",47,2024-07-29,"No Detection","no",0,6,0,"no","no"
"183","Utility1","PanRSV",47,2024-08-01,"No Detection","no",0,6,0,"no","no"
"184","Utility1","PanRSV",49,2024-07-15,"No Detection","no",1,6,16.6666666666667,"no","yes"
"185","Utility1","PanRSV",49,2024-07-18,"No Detection","no",1,6,16.6666666666667,"no","yes"
"186","Utility1","PanRSV",50,2024-07-08,"No Detection","no",1,4,25,"no","yes"
"187","Utility1","PanRSV",50,2024-07-11,"No Detection","no",1,4,25,"no","yes"
"188","Utility1","PanRSV",51,2024-07-01,"No Detection","yes",1,2,50,"no","yes"
"189","Utility1","PanRSV",52,2024-06-27,"Detection","yes",1,1,100,"yes","no"
"190","Utility1","sars-cov-2",30,2024-11-25,"No Detection","no",4,7,57.1428571428571,"no","yes"
"191","Utility1","sars-cov-2",31,2024-11-18,"No Detection","yes",6,8,75,"no","yes"
"192","Utility1","sars-cov-2",31,2024-11-21,"No Detection","yes",6,8,75,"no","yes"
"193","Utility1","sars-cov-2",32,2024-11-12,"Detection","yes",8,8,100,"yes","no"
"194","Utility1","sars-cov-2",32,2024-11-14,"Detection","yes",8,8,100,"yes","no"
"195","Utility1","sars-cov-2",33,2024-11-04,"Detection","yes",8,8,100,"yes","no"
"196","Utility1","sars-cov-2",33,2024-11-07,"Detection","yes",8,8,100,"yes","no"
"197","Utility1","sars-cov-2",34,2024-10-28,"Detection","yes",6,6,100,"yes","no"
"198","Utility1","sars-cov-2",34,2024-10-31,"Detection","yes",6,6,100,"yes","no"
"199","Utility1","sars-cov-2",35,2024-10-21,"Detection","yes",6,6,100,"yes","no"
"200","Utility1","sars-cov-2",35,2024-10-24,"Detection","yes",6,6,100,"yes","no"
"201","Utility1","sars-cov-2",36,2024-10-14,"Detection","yes",6,6,100,"yes","no"
"202","Utility1","sars-cov-2",36,2024-10-17,"Detection","yes",6,6,100,"yes","no"
"203","Utility1","sars-cov-2",38,2024-09-30,"Detection","yes",6,7,85.7142857142857,"yes","no"
"204","Utility1","sars-cov-2",38,2024-10-03,"Detection","yes",6,7,85.7142857142857,"yes","no"
"205","Utility1","sars-cov-2",39,2024-09-23,"Detection","yes",5,6,83.3333333333333,"yes","no"
"206","Utility1","sars-cov-2",39,2024-09-26,"Detection","yes",5,6,83.3333333333333,"yes","no"
"207","Utility1","sars-cov-2",40,2024-09-16,"Detection","yes",5,6,83.3333333333333,"yes","no"
"208","Utility1","sars-cov-2",41,2024-09-09,"Detection","yes",6,7,85.7142857142857,"yes","no"
"209","Utility1","sars-cov-2",41,2024-09-12,"No Detection","yes",6,7,85.7142857142857,"yes","no"
"210","Utility1","sars-cov-2",42,2024-09-03,"Detection","yes",7,7,100,"yes","no"
"211","Utility1","sars-cov-2",43,2024-08-26,"Detection","yes",8,8,100,"yes","no"
"212","Utility1","sars-cov-2",43,2024-08-29,"Detection","yes",8,8,100,"yes","no"
"213","Utility1","sars-cov-2",44,2024-08-19,"Detection","yes",8,8,100,"yes","no"
"214","Utility1","sars-cov-2",44,2024-08-22,"Detection","yes",8,8,100,"yes","no"
"215","Utility1","sars-cov-2",45,2024-08-12,"Detection","yes",6,6,100,"yes","no"
"216","Utility1","sars-cov-2",45,2024-08-15,"Detection","yes",6,6,100,"yes","no"
"217","Utility1","sars-cov-2",46,2024-08-05,"Detection","yes",6,6,100,"yes","no"
"218","Utility1","sars-cov-2",46,2024-08-08,"Detection","yes",6,6,100,"yes","no"
"219","Utility1","sars-cov-2",47,2024-07-29,"Detection","yes",5,6,83.3333333333333,"yes","no"
"220","Utility1","sars-cov-2",47,2024-08-01,"Detection","yes",5,6,83.3333333333333,"yes","no"
"221","Utility1","sars-cov-2",49,2024-07-15,"Detection","yes",5,6,83.3333333333333,"yes","no"
"222","Utility1","sars-cov-2",49,2024-07-18,"Detection","yes",5,6,83.3333333333333,"yes","no"
"223","Utility1","sars-cov-2",50,2024-07-08,"No Detection","yes",3,4,75,"no","yes"
"224","Utility1","sars-cov-2",50,2024-07-11,"Detection","yes",3,4,75,"no","yes"
"225","Utility1","sars-cov-2",51,2024-07-01,"Detection","yes",2,2,100,"yes","no"
"226","Utility1","sars-cov-2",52,2024-06-27,"Detection","yes",1,1,100,"yes","no"
"227","Utility2","FLUAV",30,2024-11-25,"No Detection","no",4,7,57.1428571428571,"no","yes"
"228","Utility2","FLUAV",31,2024-11-18,"No Detection","yes",6,8,75,"no","yes"
"229","Utility2","FLUAV",31,2024-11-21,"No Detection","yes",6,8,75,"no","yes"
"230","Utility2","FLUAV",32,2024-11-12,"Detection","yes",7,8,87.5,"yes","no"
"231","Utility2","FLUAV",32,2024-11-14,"Detection","yes",7,8,87.5,"yes","no"
"232","Utility2","FLUAV",33,2024-11-04,"Detection","yes",7,8,87.5,"yes","no"
"233","Utility2","FLUAV",33,2024-11-07,"Detection","yes",7,8,87.5,"yes","no"
"234","Utility2","FLUAV",34,2024-10-28,"Detection","yes",5,8,62.5,"no","yes"
"235","Utility2","FLUAV",34,2024-10-31,"Detection","yes",5,8,62.5,"no","yes"
"236","Utility2","FLUAV",35,2024-10-21,"Detection","yes",3,8,37.5,"no","yes"
"237","Utility2","FLUAV",35,2024-10-24,"No Detection","yes",3,8,37.5,"no","yes"
"238","Utility2","FLUAV",36,2024-10-14,"Detection","yes",2,8,25,"no","yes"
"239","Utility2","FLUAV",36,2024-10-17,"Detection","yes",2,8,25,"no","yes"
"240","Utility2","FLUAV",37,2024-10-08,"No Detection","no",0,7,0,"no","no"
"241","Utility2","FLUAV",37,2024-10-10,"No Detection","no",0,7,0,"no","no"
"242","Utility2","FLUAV",38,2024-09-30,"No Detection","no",0,7,0,"no","no"
"243","Utility2","FLUAV",38,2024-10-03,"No Detection","no",0,7,0,"no","no"
"244","Utility2","FLUAV",39,2024-09-23,"No Detection","no",0,6,0,"no","no"
"245","Utility2","FLUAV",39,2024-09-26,"No Detection","no",0,6,0,"no","no"
"246","Utility2","FLUAV",40,2024-09-16,"No Detection","no",0,6,0,"no","no"
"247","Utility2","FLUAV",41,2024-09-09,"No Detection","no",1,7,14.2857142857143,"no","yes"
"248","Utility2","FLUAV",41,2024-09-12,"No Detection","no",1,7,14.2857142857143,"no","yes"
"249","Utility2","FLUAV",42,2024-09-03,"No Detection","no",2,7,28.5714285714286,"no","yes"
"250","Utility2","FLUAV",43,2024-08-26,"No Detection","yes",4,8,50,"no","yes"
"251","Utility2","FLUAV",43,2024-08-29,"No Detection","yes",4,8,50,"no","yes"
"252","Utility2","FLUAV",44,2024-08-19,"No Detection","yes",6,8,75,"no","yes"
"253","Utility2","FLUAV",44,2024-08-22,"Detection","yes",6,8,75,"no","yes"
"254","Utility2","FLUAV",45,2024-08-12,"Detection","yes",6,8,75,"no","yes"
"255","Utility2","FLUAV",45,2024-08-15,"No Detection","yes",6,8,75,"no","yes"
"256","Utility2","FLUAV",46,2024-08-05,"Detection","yes",6,8,75,"no","yes"
"257","Utility2","FLUAV",46,2024-08-08,"Detection","yes",6,8,75,"no","yes"
"258","Utility2","FLUAV",47,2024-07-29,"Detection","yes",4,8,50,"no","yes"
"259","Utility2","FLUAV",47,2024-08-01,"Detection","yes",4,8,50,"no","yes"
"260","Utility2","FLUAV",48,2024-07-22,"No Detection","yes",2,7,28.5714285714286,"no","yes"
"261","Utility2","FLUAV",48,2024-07-25,"Detection","yes",2,7,28.5714285714286,"no","yes"
"262","Utility2","FLUAV",49,2024-07-15,"Detection","yes",1,6,16.6666666666667,"no","yes"
"263","Utility2","FLUAV",49,2024-07-18,"No Detection","yes",1,6,16.6666666666667,"no","yes"
"264","Utility2","FLUAV",50,2024-07-08,"No Detection","no",0,4,0,"no","no"
"265","Utility2","FLUAV",50,2024-07-11,"No Detection","no",0,4,0,"no","no"
"266","Utility2","FLUAV",51,2024-07-01,"No Detection","no",0,2,0,"no","no"
"267","Utility2","FLUAV",52,2024-06-27,"No Detection","no",0,1,0,"no","no"
"268","Utility2","FLUBV",30,2024-11-25,"No Detection","no",0,7,0,"no","no"
"269","Utility2","FLUBV",31,2024-11-18,"No Detection","no",0,8,0,"no","no"
"270","Utility2","FLUBV",31,2024-11-21,"No Detection","no",0,8,0,"no","no"
"271","Utility2","FLUBV",32,2024-11-12,"No Detection","no",0,8,0,"no","no"
"272","Utility2","FLUBV",32,2024-11-14,"No Detection","no",0,8,0,"no","no"
"273","Utility2","FLUBV",33,2024-11-04,"No Detection","no",0,8,0,"no","no"
"274","Utility2","FLUBV",33,2024-11-07,"No Detection","no",0,8,0,"no","no"
"275","Utility2","FLUBV",34,2024-10-28,"No Detection","no",0,8,0,"no","no"
"276","Utility2","FLUBV",34,2024-10-31,"No Detection","no",0,8,0,"no","no"
"277","Utility2","FLUBV",35,2024-10-21,"No Detection","no",0,8,0,"no","no"
"278","Utility2","FLUBV",35,2024-10-24,"No Detection","no",0,8,0,"no","no"
"279","Utility2","FLUBV",36,2024-10-14,"No Detection","no",0,8,0,"no","no"
"280","Utility2","FLUBV",36,2024-10-17,"No Detection","no",0,8,0,"no","no"
"281","Utility2","FLUBV",37,2024-10-08,"No Detection","no",0,7,0,"no","no"
"282","Utility2","FLUBV",37,2024-10-10,"No Detection","no",0,7,0,"no","no"
"283","Utility2","FLUBV",38,2024-09-30,"No Detection","no",0,7,0,"no","no"
"284","Utility2","FLUBV",38,2024-10-03,"No Detection","no",0,7,0,"no","no"
"285","Utility2","FLUBV",39,2024-09-23,"No Detection","no",0,6,0,"no","no"
"286","Utility2","FLUBV",39,2024-09-26,"No Detection","no",0,6,0,"no","no"
"287","Utility2","FLUBV",40,2024-09-16,"No Detection","no",0,6,0,"no","no"
"288","Utility2","FLUBV",41,2024-09-09,"No Detection","no",0,7,0,"no","no"
"289","Utility2","FLUBV",41,2024-09-12,"No Detection","no",0,7,0,"no","no"
"290","Utility2","FLUBV",42,2024-09-03,"No Detection","no",0,7,0,"no","no"
"291","Utility2","FLUBV",43,2024-08-26,"No Detection","no",0,8,0,"no","no"
"292","Utility2","FLUBV",43,2024-08-29,"No Detection","no",0,8,0,"no","no"
"293","Utility2","FLUBV",44,2024-08-19,"No Detection","no",0,6,0,"no","no"
"294","Utility2","FLUBV",44,2024-08-22,"No Detection","no",0,6,0,"no","no"
"295","Utility2","FLUBV",45,2024-08-12,"No Detection","no",0,5,0,"no","no"
"296","Utility2","FLUBV",45,2024-08-15,"No Detection","no",0,5,0,"no","no"
"297","Utility2","FLUBV",46,2024-08-05,"No Detection","no",0,3,0,"no","no"
"298","Utility2","FLUBV",46,2024-08-08,"No Detection","no",0,3,0,"no","no"
"299","Utility2","FLUBV",48,2024-07-22,"No Detection","no",0,4,0,"no","no"
"300","Utility2","FLUBV",50,2024-07-08,"No Detection","no",0,4,0,"no","no"
"301","Utility2","FLUBV",50,2024-07-11,"No Detection","no",0,4,0,"no","no"
"302","Utility2","FLUBV",51,2024-07-01,"No Detection","no",0,2,0,"no","no"
"303","Utility2","FLUBV",52,2024-06-27,"No Detection","no",0,1,0,"no","no"
"304","Utility2","H1",30,2024-11-25,"No Detection","no",2,7,28.5714285714286,"no","yes"
"305","Utility2","H1",31,2024-11-18,"No Detection","no",3,8,37.5,"no","yes"
"306","Utility2","H1",31,2024-11-21,"No Detection","no",3,8,37.5,"no","yes"
"307","Utility2","H1",32,2024-11-12,"No Detection","yes",4,8,50,"no","yes"
"308","Utility2","H1",32,2024-11-14,"No Detection","yes",4,8,50,"no","yes"
"309","Utility2","H1",33,2024-11-04,"Detection","yes",4,7,57.1428571428571,"no","yes"
"310","Utility2","H1",33,2024-11-07,"Detection","yes",4,7,57.1428571428571,"no","yes"
"311","Utility2","H1",34,2024-10-28,"No Detection","yes",2,7,28.5714285714286,"no","yes"
